sample_id,pair_id,source_image_id,target_image_id,source_concept,target_concept,layer,R,T,B,G,tensor_shape
pair_13_10,pair_13,000000040523,000000091218,access,cupcake,8,0.45934438705444336,0.2691061496734619,0.23703104257583618,0.03207510709762573,"(1, 577, 1024)"
pair_13_10,pair_13,000000040523,000000091218,access,cupcake,9,0.44190505146980286,0.26130780577659607,0.21640822291374207,0.044899582862854004,"(1, 577, 1024)"
pair_13_10,pair_13,000000040523,000000091218,access,cupcake,10,0.41446924209594727,0.2579944431781769,0.20830632746219635,0.04968811571598053,"(1, 577, 1024)"
pair_13_10,pair_13,000000040523,000000091218,access,cupcake,11,0.39407023787498474,0.24301262199878693,0.18118254840373993,0.061830073595047,"(1, 577, 1024)"
pair_13_10,pair_13,000000040523,000000091218,access,cupcake,12,0.3054466247558594,0.20507580041885376,0.11169975996017456,0.0933760404586792,"(1, 577, 1024)"
pair_13_10,pair_13,000000040523,000000091218,access,cupcake,13,0.17232689261436462,0.1249815821647644,0.03505191206932068,0.08992967009544373,"(1, 577, 1024)"
pair_13_10,pair_13,000000040523,000000091218,access,cupcake,14,0.16159726679325104,0.1470334529876709,0.031802646815776825,0.11523080617189407,"(1, 577, 1024)"
pair_13_10,pair_13,000000040523,000000091218,access,cupcake,15,0.15440881252288818,0.16807909309864044,0.026347406208515167,0.14173168689012527,"(1, 577, 1024)"
pair_13_10,pair_13,000000040523,000000091218,access,cupcake,16,0.16392740607261658,0.2075691670179367,0.033571187406778336,0.17399797961115837,"(1, 577, 1024)"
pair_13_10,pair_13,000000040523,000000091218,access,cupcake,17,0.1985575258731842,0.2666086256504059,0.051781684160232544,0.21482694149017334,"(1, 577, 1024)"
pair_13_10,pair_13,000000040523,000000091218,access,cupcake,18,0.2149762362241745,0.32371023297309875,0.06991574913263321,0.25379448384046555,"(1, 577, 1024)"
pair_13_10,pair_13,000000040523,000000091218,access,cupcake,19,0.24689555168151855,0.4215867817401886,0.10422676801681519,0.3173600137233734,"(1, 577, 1024)"
pair_13_10,pair_13,000000040523,000000091218,access,cupcake,20,0.31166380643844604,0.5735687613487244,0.18455727398395538,0.389011487364769,"(1, 577, 1024)"
pair_13_10,pair_13,000000040523,000000091218,access,cupcake,21,0.5134811997413635,0.8918931484222412,0.4572857916355133,0.4346073567867279,"(1, 577, 1024)"
pair_13_10,pair_13,000000040523,000000091218,access,cupcake,22,0.45845121145248413,0.8733735084533691,0.4011452794075012,0.4722282290458679,"(1, 577, 1024)"
pair_13_10,pair_13,000000040523,000000091218,access,cupcake,23,0.47499775886535645,0.8688356876373291,0.41388601064682007,0.45494967699050903,"(1, 577, 1024)"
pair_13_10,pair_13,000000040523,000000091218,access,cupcake,24,0.5112676024436951,0.8738288283348083,0.45347827672958374,0.4203505516052246,"(1, 577, 1024)"
pair_13_11,pair_13,000000088312,000000002460,access,cupcake,0,0.8556865453720093,0.0828138068318367,0.08903352916240692,-0.006219722330570221,"(1, 577, 1024)"
pair_13_11,pair_13,000000088312,000000002460,access,cupcake,1,0.7809975147247314,0.12032679468393326,0.15075388550758362,-0.03042709082365036,"(1, 577, 1024)"
pair_13_11,pair_13,000000088312,000000002460,access,cupcake,2,0.7024732828140259,0.18284817039966583,0.2118518054485321,-0.029003635048866272,"(1, 577, 1024)"
pair_13_11,pair_13,000000088312,000000002460,access,cupcake,3,0.6267662048339844,0.20090314745903015,0.2704712748527527,-0.06956812739372253,"(1, 577, 1024)"
pair_13_11,pair_13,000000088312,000000002460,access,cupcake,4,0.6045377850532532,0.2667970359325409,0.278550386428833,-0.011753350496292114,"(1, 577, 1024)"
pair_13_11,pair_13,000000088312,000000002460,access,cupcake,5,0.5482010245323181,0.26178863644599915,0.2680537700653076,-0.006265133619308472,"(1, 577, 1024)"
pair_13_11,pair_13,000000088312,000000002460,access,cupcake,6,0.5256168246269226,0.2420487254858017,0.2706349194049835,-0.028586193919181824,"(1, 577, 1024)"
