pair_id,layer,R_mean,R_median,T_mean,T_median,B_mean,B_median,G_mean,G_median,M_mean,M_median,n_samples,G_positive_count,G_positive_pct,M_positive_count,M_positive_pct,total_pair_samples,coverage_pct
pair_16,9,0.5703828185796738,0.5562169253826141,0.25109900627285237,0.2545079439878464,0.2263679355382919,0.228699155151844,0.024731070734560483,0.018267549574375125,-0.3192838123068214,-0.3074559420347214,16,16,100.0,0,0.0,16,100.0
pair_16,10,0.5056098252534866,0.49536874890327454,0.2494080178439617,0.2481793165206909,0.2018942106515169,0.20389475673437113,0.047513807192444815,0.041792601346969604,-0.2562018074095249,-0.24199631065130234,16,16,100.0,0,0.0,16,100.0
pair_16,11,0.43315052427351475,0.42327623069286346,0.24720835220068688,0.2378935813903808,0.17244944628328082,0.1731282398104667,0.07475890591740608,0.07196648418903355,-0.18594217207282784,-0.17806563526391983,16,16,100.0,0,0.0,16,100.0
pair_16,12,0.323396866209805,0.3076621890068054,0.24115563742816445,0.2159141525626182,0.12919098185375327,0.11143207922577855,0.11196465557441117,0.1065763719379902,-0.08224122878164053,-0.09203929454088215,16,15,93.75,3,18.75,16,100.0
pair_16,13,0.16854060860350725,0.17681277543306345,0.22467235522344706,0.15075419843196863,0.07294630818068977,0.04196934401988975,0.15172604704275727,0.10953861847519875,0.056131746619939804,-0.021996058523654938,16,15,93.75,6,37.5,16,100.0
pair_16,14,0.14845345309004185,0.1525689736008644,0.25792162958532566,0.19513159245252604,0.06792004662565883,0.0377389527857303,0.19000158295966685,0.15856576897203925,0.10946817649528384,0.050731442868709495,16,15,93.75,10,62.5,16,100.0
pair_16,15,0.13661392778158185,0.1350802332162857,0.2936767009086907,0.2449702993035316,0.06319112190976735,0.034133953973650905,0.2304855789989233,0.2100860569626093,0.1570627731271088,0.10859473794698715,16,15,93.75,13,81.25,16,100.0
pair_16,16,0.13459387980401513,0.1320000998675823,0.341958811506629,0.30470955371856684,0.06660465756431218,0.038467451930046054,0.27535415394231677,0.2662421017885208,0.20736493170261386,0.17431948333978653,16,15,93.75,13,81.25,16,100.0
pair_16,17,0.13828262826427815,0.1382310464978218,0.4158218400552869,0.39838293194770813,0.07190915988758201,0.0470464508980512,0.3439126801677049,0.3530776798725128,0.2775392117910087,0.2625995911657811,16,15,93.75,15,93.75,16,100.0
pair_16,18,0.15347587410360572,0.1576667502522468,0.4602251946926117,0.4483112096786499,0.08322161925025279,0.060898791998624746,0.3770035754423589,0.38890659809112554,0.30674932058900595,0.29672176390886307,16,15,93.75,16,100.0,16,100.0
pair_16,19,0.16998239979147908,0.1749552711844444,0.5284622684121132,0.5244052410125732,0.10067128762602803,0.08201115578413004,0.42779098078608513,0.4455566257238388,0.3584798686206341,0.35922224074602127,16,15,93.75,16,100.0,16,100.0
pair_16,20,0.20194252394139764,0.2005253434181213,0.641810517758131,0.6457936465740204,0.13847134029492733,0.1262146309018135,0.5033391774632037,0.5176087319850922,0.43986799381673336,0.43959805369377136,16,16,100.0,16,100.0,16,100.0
pair_16,21,0.27405653335154057,0.26346084475517273,0.8773282840847969,0.8898376524448395,0.24104074481874702,0.23061785101890558,0.6362875392660499,0.6432799324393272,0.6032717507332563,0.6039427816867828,16,16,100.0,16,100.0,16,100.0
pair_16,22,0.2637951234355569,0.25372472405433655,0.8608362711966038,0.8729519248008728,0.2281081415712833,0.22098377346992484,0.6327281296253204,0.64039396494627,0.5970411477610469,0.5983012691140175,16,16,100.0,16,100.0,16,100.0
pair_16,23,0.2822729395702481,0.2688542902469635,0.8626319989562035,0.8721811175346375,0.2440184941515326,0.2351429313421249,0.6186135048046708,0.6299824565649033,0.5803590593859553,0.5821546763181686,16,16,100.0,16,100.0,16,100.0
pair_16,24,0.37476444616913795,0.3674694895744324,0.868259385228157,0.8761250078678131,0.33485476486384863,0.3232764601707458,0.5334046203643084,0.5400153547525406,0.4934949390590191,0.49149857461452484,16,16,100.0,16,100.0,16,100.0
pair_17,0,0.7880160547792912,0.822186291217804,0.15609881747514004,0.1401817053556442,0.18276822514599186,0.16340567916631696,-0.026669407670851814,-0.02320276200771329,-0.6319172373041511,-0.6382728256285191,16,3,18.75,0,0.0,16,100.0
pair_17,1,0.7515177354216576,0.7663094103336334,0.19340577116236088,0.18435043096542356,0.2642876822501421,0.2373310178518295,-0.07088191108778119,-0.0589931160211563,-0.5581119642592967,-0.5446800738573074,16,0,0.0,0,0.0,16,100.0
pair_17,2,0.7108914777636528,0.7153140306472778,0.22545728366822002,0.22228518873453135,0.3049156768247485,0.290014311671257,-0.07945839315652847,-0.0718721449375153,-0.48543419409543276,-0.4996543377637863,16,0,0.0,0,0.0,16,100.0
pair_17,3,0.6655561216175556,0.6681146919727325,0.23001093883067367,0.2228460162878036,0.3548439908772707,0.3530544340610504,-0.12483305204659702,-0.11871524900197984,-0.435545182786882,-0.45548809319734573,16,0,0.0,0,0.0,16,100.0
pair_17,4,0.6531434468924999,0.6573083996772766,0.28035047091543674,0.2777392119169235,0.35287729650735855,0.34561480581760406,-0.0725268255919218,-0.06442981958389282,-0.3727929759770632,-0.39081864058971405,16,0,0.0,0,0.0,16,100.0
pair_17,5,0.6100219264626503,0.6155760586261749,0.27005261182785034,0.26816214621067047,0.32568500004708767,0.317620113492012,-0.055632388219237314,-0.048849955201149,-0.33996931463479996,-0.3575165271759033,16,0,0.0,0,0.0,16,100.0
pair_17,6,0.5839290004223585,0.5869643092155457,0.2610793160274625,0.25562919676303864,0.31726487539708614,0.3128737658262253,-0.056185559369623675,-0.04843652248382571,-0.32284968439489603,-0.3388516679406166,16,0,0.0,0,0.0,16,100.0
pair_17,7,0.5678433980792761,0.5704947412014008,0.2734538707882166,0.2693794071674347,0.295741681009531,0.2916843295097351,-0.022287810221314423,-0.01663878560066223,-0.2943895272910595,-0.301132932305336,16,0,0.0,0,0.0,16,100.0
pair_17,8,0.5298549626022577,0.5347210168838501,0.25265387166291475,0.2513420879840851,0.26222879253327847,0.2586809992790222,-0.009574920870363707,-0.00715922564268115,-0.277201090939343,-0.28205428272485733,16,5,31.25,0,0.0,16,100.0
pair_17,9,0.48985101468861103,0.49418291449546814,0.2433284996077418,0.24281995743513102,0.23667061887681481,0.23383809626102445,0.006657880730926984,0.008044973015785176,-0.2465225150808692,-0.24277151376008987,16,10,62.5,0,0.0,16,100.0
pair_17,10,0.42882869206368923,0.44056668877601624,0.2364659374579787,0.23852000385522837,0.20852352306246755,0.2046607509255409,0.02794241439551115,0.03269106149673459,-0.1923627546057105,-0.1858021765947342,16,13,81.25,0,0.0,16,100.0
pair_17,11,0.3780475687235593,0.37950058281421656,0.2475360622629523,0.2562965750694275,0.17956536449491975,0.1781506761908531,0.06797069776803256,0.07307785749435426,-0.13051150646060705,-0.11714129149913786,16,16,100.0,0,0.0,16,100.0
pair_17,12,0.28783506248146296,0.290683388710022,0.2646183613687753,0.2406903952360153,0.12138345697894688,0.1133335940539836,0.14323490438982844,0.12355069071054459,-0.023216701112687595,-0.05077084153890611,16,16,100.0,5,31.25,16,100.0
pair_17,13,0.15771252801641816,0.14922202378511423,0.2702740547247231,0.16199899464845655,0.04338302742689843,0.043258247897028854,0.22689102729782465,0.12233086116611964,0.1125615267083049,0.009611666202545194,16,16,100.0,9,56.25,16,100.0
pair_17,14,0.13909049378708002,0.1395143866539001,0.31488675996661186,0.21570580452680585,0.041030278662219595,0.04076591506600375,0.2738564813043923,0.18170110322535038,0.1757962661795318,0.08937660232186316,16,16,100.0,14,87.5,16,100.0
pair_17,15,0.1250981921330094,0.12564377486705774,0.35897608287632465,0.2829432040452957,0.03561901382636275,0.035330818966031005,0.32335706904996186,0.25362101569771767,0.23387789074331522,0.1602976769208908,16,16,100.0,16,100.0,16,100.0
pair_17,16,0.12667575944215057,0.12679578363895416,0.4129454232752323,0.35280968248844147,0.04088131943717594,0.03900439664721485,0.3720641038380563,0.3186872992664576,0.2862696638330817,0.22435167804360392,16,16,100.0,16,100.0,16,100.0
pair_17,17,0.14115905622020358,0.13821867108345032,0.4981303811073303,0.46890848875045776,0.05562366289086635,0.05250774510204785,0.442506718216464,0.42242237553000456,0.3569713248871267,0.31102561205625534,16,16,100.0,16,100.0,16,100.0
pair_17,18,0.1580022065900266,0.15287104994058603,0.5377594977617264,0.51568403840065,0.07198218791745599,0.0680088326334953,0.4657773098442704,0.4536211695522071,0.37975729117169976,0.3367665335536003,16,16,100.0,16,100.0,16,100.0
pair_17,19,0.1854271041229367,0.17578372359275815,0.6061251740902662,0.5982820987701416,0.10082486737519498,0.09800579026341436,0.5053003067150712,0.5074917338788509,0.4206980699673295,0.38860566914081573,16,16,100.0,16,100.0,16,100.0
pair_17,20,0.23467750847339627,0.22924073040485382,0.7050123997032642,0.7045348286628723,0.15555306384339923,0.15073274075984955,0.549459335859865,0.5570988059043884,0.47033489122986794,0.45421863347291946,16,16,100.0,16,100.0,16,100.0
pair_17,21,0.39037385396659374,0.3765084743499756,0.9127491749823093,0.9158214628696442,0.3501415783539414,0.3434618413448334,0.5626075966283679,0.5797771960496902,0.5223753210157156,0.5479514896869659,16,16,100.0,16,100.0,16,100.0
pair_17,22,0.355281088501215,0.34332892298698425,0.9005235880613327,0.9038389623165131,0.31540793832391495,0.3055192232131958,0.5851156497374177,0.5990555733442308,0.5452424995601177,0.5620888024568558,16,16,100.0,16,100.0,16,100.0
pair_17,23,0.3719404265284538,0.35582298040390015,0.8997153900563717,0.9029625654220581,0.33077204506844277,0.3272268027067184,0.5689433449879289,0.5837579369544983,0.5277749635279179,0.5464930981397629,16,16,100.0,16,100.0,16,100.0
pair_17,24,0.4380611255764961,0.42643520236015314,0.9037311002612114,0.9059976935386658,0.3979060780256986,0.3960979133844375,0.5058250222355127,0.5166562497615814,0.4656699746847153,0.4817516803741455,16,16,100.0,16,100.0,16,100.0
pair_18,0,0.8080236651003361,0.8172833919525146,0.12214014260098335,0.12332578003406525,0.14052217779681084,0.1342269852757454,-0.018382035195827477,-0.011684447526931742,-0.6858835224993527,-0.7018815129995346,16,0,0.0,0,0.0,16,100.0
pair_18,1,0.7783304639160633,0.7709560096263885,0.14550833683460948,0.14441504329442975,0.16901398077607152,0.1584048122167587,-0.02350564394146204,-0.016141213476657847,-0.6328221270814538,-0.6239627301692963,16,1,6.25,0,0.0,16,100.0
pair_18,2,0.7477972321212292,0.7385679483413696,0.21666166000068185,0.21767956763505936,0.24207526724785564,0.24641291797161102,-0.025413607247173793,-0.022574618458747864,-0.5311355721205473,-0.5194128155708313,16,3,18.75,0,0.0,16,100.0
pair_18,3,0.7097065150737762,0.7003460824489594,0.22984490543603894,0.2324059009552002,0.2691116835922002,0.2650569528341293,-0.039266778156161294,-0.034077763557434054,-0.4798616096377373,-0.46392636001110077,16,1,6.25,0,0.0,16,100.0
pair_18,4,0.699798945337534,0.6841709613800049,0.3008859371766448,0.3066617250442505,0.3037019558250904,0.30187129974365234,-0.002816018648445601,0.004598580300807939,-0.39891300816088915,-0.3741163909435272,16,9,56.25,0,0.0,16,100.0
pair_18,5,0.6599213890731335,0.6434003710746765,0.2960953591391444,0.30215202271938324,0.28561523556709284,0.2845288962125778,0.010480123572051539,0.01117977499961853,-0.36382602993398905,-0.338608980178833,16,10,62.5,0,0.0,16,100.0
pair_18,6,0.6305455658584833,0.6169303953647614,0.2718987623229623,0.2763218879699707,0.2727731419727206,0.27437061071395874,-0.0008743796497583389,0.0019087791442870955,-0.35864680353552103,-0.345238596200943,16,8,50.0,0,0.0,16,100.0
pair_18,7,0.6115961242467165,0.5967259109020233,0.28770654089748854,0.29301621019840235,0.27279321290552616,0.2654663026332855,0.01491332799196242,0.019054278731346103,-0.3238895833492279,-0.31737053394317627,16,14,87.5,0,0.0,16,100.0
pair_18,8,0.5757798198610544,0.5574888288974762,0.27025975380092854,0.2757221609354019,0.24710090365260837,0.2390670105814933,0.023158850148320205,0.023781090974807753,-0.30552006606012583,-0.3022063821554184,16,15,93.75,0,0.0,16,100.0
