sample_id,pair_id,source_image_id,target_image_id,source_concept,target_concept,layer,R,T,B,G,tensor_shape,M,normalized_target_distance_reduction
pair_05_01,pair_05,000000024862,000000063828,drink,men,13,0.1634305417537689,0.1147071123123169,0.0437687039375305,0.0709384083747864,"(1, 577, 1024)",-0.048723429441452,0.07418540751269459
pair_05_01,pair_05,000000024862,000000063828,drink,men,14,0.1440420150756836,0.1370959877967834,0.0400911197066307,0.09700486809015268,"(1, 577, 1024)",-0.006946027278900202,0.10105632949296799
pair_05_01,pair_05,000000024862,000000063828,drink,men,15,0.1325464248657226,0.1815500259399414,0.0350604206323623,0.1464896053075791,"(1, 577, 1024)",0.049003601074218806,0.1518122050746218
pair_05_01,pair_05,000000024862,000000063828,drink,men,16,0.1321407109498977,0.2359907776117324,0.0394921004772186,0.1964986771345138,"(1, 577, 1024)",0.10385006666183469,0.2045778876281415
pair_05_01,pair_05,000000024862,000000063828,drink,men,17,0.1464022696018219,0.3466846644878387,0.0510471053421497,0.295637559145689,"(1, 577, 1024)",0.2002823948860168,0.31154081599833533
pair_05_01,pair_05,000000024862,000000063828,drink,men,18,0.1648008972406387,0.4143295884132385,0.0687188878655433,0.3456107005476952,"(1, 577, 1024)",0.24952869117259982,0.3711131859590389
pair_05_01,pair_05,000000024862,000000063828,drink,men,19,0.1962008029222488,0.4994562864303589,0.0981927812099456,0.4012635052204133,"(1, 577, 1024)",0.30325548350811005,0.4449548604842446
pair_05_01,pair_05,000000024862,000000063828,drink,men,20,0.220151662826538,0.642205536365509,0.1391307115554809,0.5030748248100281,"(1, 577, 1024)",0.42205387353897106,0.5843800348819739
pair_05_01,pair_05,000000024862,000000063828,drink,men,21,0.3085032105445862,0.8851028084754944,0.2702406644821167,0.6148621439933777,"(1, 577, 1024)",0.5765995979309082,0.8425546807935422
pair_05_01,pair_05,000000024862,000000063828,drink,men,22,0.2977457046508789,0.8684628009796143,0.2559802532196045,0.6124825477600098,"(1, 577, 1024)",0.5707170963287354,0.8232073818072866
pair_05_01,pair_05,000000024862,000000063828,drink,men,23,0.3089740574359894,0.8773428797721863,0.2668804824352264,0.6104623973369598,"(1, 577, 1024)",0.5683688223361969,0.8326915089708049
pair_05_01,pair_05,000000024862,000000063828,drink,men,24,0.3983210623264313,0.8833785653114319,0.3536853790283203,0.5296931862831116,"(1, 577, 1024)",0.4850575029850006,0.8195593432294049
pair_05_02,pair_05,000000067436,000000053498,drink,men,0,0.8280099034309387,0.0933321416378021,0.0998454242944717,-0.006513282656669603,"(1, 577, 1024)",-0.7346777617931366,-0.007235737985961561
pair_05_02,pair_05,000000067436,000000053498,drink,men,1,0.7938757538795471,0.1343041211366653,0.1555077135562896,-0.0212035924196243,"(1, 577, 1024)",-0.6595716327428818,-0.025108094839937443
