layer_i,layer_j,block_i,block_j,source,adversarial,target,delta_adv_minus_source
12,24,middle,deep,0.6188008189201355,0.1635731309652328,0.6170332431793213,-0.4552276879549027
13,14,middle,middle,0.9751718640327454,0.891995906829834,0.9757962226867676,-0.08317595720291138
13,15,middle,middle,0.9469286799430848,0.7486522793769836,0.9409050345420836,-0.19827640056610119
13,16,middle,middle,0.9267860651016236,0.6311854124069214,0.9187436699867249,-0.29560065269470226
13,17,middle,deep,0.8803080320358276,0.4939543604850769,0.8701565265655518,-0.38635367155075073
13,18,middle,deep,0.8579210638999939,0.4437212646007538,0.8370206952095032,-0.4141997992992401
13,19,middle,deep,0.8256094455718994,0.3973435759544372,0.8078609704971313,-0.4282658696174622
13,20,middle,deep,0.7600538730621338,0.316650927066803,0.7558256387710571,-0.4434029459953308
13,21,middle,deep,0.5401780605316162,0.1727621108293533,0.5367858409881592,-0.3674159497022629
13,22,middle,deep,0.596957266330719,0.1917633414268493,0.5909011960029602,-0.4051939249038697
13,23,middle,deep,0.6166090965270996,0.1973622888326645,0.61113440990448,-0.4192468076944351
13,24,middle,deep,0.6244938373565674,0.2010889500379562,0.6184984445571899,-0.42340488731861115
14,15,middle,middle,0.9771872162818908,0.8991786241531372,0.9743713140487672,-0.07800859212875355
14,16,middle,middle,0.9606085419654846,0.7962165474891663,0.9536309838294984,-0.16439199447631836
